City_ID,City,Country,Max Temp,Description,Lat,lng,Hotel Name
670,Minna,NG,80.65,overcast clouds,9.6139,6.5569,Haske Main Hotel
672,Mankono,CI,73.27,overcast clouds,8.0586,-6.1897,Hôtel Paillotes
677,Abnub,EG,70.02,clear sky,27.2696,31.1511,No hotel found
678,Jawhar,SO,86.49,scattered clouds,2.7809,45.5005,Hotel Subiye
682,Majene,ID,83.46,overcast clouds,-3.5403,118.9707,No hotel found
684,Akyab,MM,85.64,few clouds,20.15,92.9,Yuzana Aung Motel 1
685,Nizwa,OM,82.15,broken clouds,22.9333,57.5333,Nizwa Heritage Inn
686,Acarau,BR,75.56,broken clouds,-2.8856,-40.12,No hotel found
687,Banyo,CM,71.31,overcast clouds,6.75,11.8167,Hôtel Amin
690,Benjamin Constant,BR,73.53,overcast clouds,-4.3831,-70.0311,No hotel found
694,Ilam,NP,79.79,scattered clouds,26.9167,87.9167,Hotel Pokhereli
695,Biltine,TD,86.59,overcast clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
700,Nicoya,CR,75.81,overcast clouds,10.1483,-85.452,Hotel marianela
702,Morondava,MG,79.79,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
704,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,Aliança
